epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.402,0.6791,1.1799,2.66586,1.11193,0.0035,1,0.67074,0.42834,0.0035,1,0.62851,0.39408,0.58089,1.80284,3.20379,1.18633,0.00054,0.00054,0.00054
2,70.5951,0.71559,1.03814,2.13905,1.13873,0.89527,0.40831,0.71416,0.44069,0.89527,0.40831,0.73469,0.59154,0.81465,1.19308,2.90832,1.64116,0.00107822,0.00107822,0.00107822
3,104.259,0.83892,1.2154,1.78328,1.16569,0.44099,0.80952,0.46823,0.21632,0.42327,0.80952,0.44262,0.2745,1.26792,1.68274,3.24946,2.1382,0.00159426,0.00159426,0.00159426
4,137.851,0.94764,1.25461,1.83099,1.20795,0.35981,0.42857,0.32356,0.10784,0.34661,0.38095,0.42529,0.20195,2.01523,3.30479,3.74957,3.28852,0.0018812,0.0018812,0.0018812
5,171.013,0.95604,1.04058,1.67456,1.24902,0.5661,0.71429,0.68594,0.38472,0.52787,0.66667,0.61019,0.44545,1.14331,1.82456,4.62367,2.12858,0.0018416,0.0018416,0.0018416
6,205.335,0.99331,0.98196,1.80456,1.27395,0.50638,0.80952,0.67442,0.35735,0.46095,0.61905,0.51845,0.29939,1.15286,3.28687,3.62985,1.93112,0.001802,0.001802,0.001802
7,238.85,0.96889,1.12973,1.74677,1.2765,0.80281,0.58212,0.78116,0.52928,0.72964,0.57143,0.65893,0.39751,0.88373,2.49448,3.05444,1.68918,0.0017624,0.0017624,0.0017624
8,272.09,0.90524,0.88137,1.59288,1.1928,0.91411,0.52381,0.67175,0.4293,0.91411,0.52381,0.67976,0.53097,1.11775,1.02377,2.76462,1.89531,0.0017228,0.0017228,0.0017228
9,305.54,0.93499,1.09229,1.51434,1.22514,0.82148,0.7619,0.8727,0.55408,0.82148,0.7619,0.8719,0.6314,1.00611,1.16156,2.4325,1.65341,0.0016832,0.0016832,0.0016832
10,338.666,0.85145,0.80859,1.45003,1.20041,0.65952,0.85714,0.74667,0.51636,0.6613,0.83721,0.74763,0.60058,0.96715,0.77348,3.08447,1.69568,0.0016436,0.0016436,0.0016436
11,372.212,0.86047,0.90523,1.34679,1.20208,0.67404,0.80952,0.78871,0.48798,0.6358,0.74856,0.65794,0.43321,1.05112,1.38193,4.03909,1.92699,0.001604,0.001604,0.001604
